
===== CMD_SET 0x00 (0) [general] =====
===== CMD_SET 0x02 (2) [camera] =====
  0x02/0x01 (  1)  req=uav_camera_take_photo_req  rsp=uav_camera_take_photo_rsp
  0x02/0x02 (  2)  req=uav_camera_record_video_req  rsp=uav_camera_record_video_rsp
  0x02/0x09 (  9)  req=uav_camera_set_liveview_source_camera_req  rsp=uav_camera_set_liveview_source_camera_rsp
  0x02/0x0C ( 12)  req=uav_camera_switch_playbackmode_req  rsp=uav_camera_switch_playbackmode_rsp
  0x02/0x10 ( 16)  req=uav_camera_set_camera_working_mode_req  rsp=uav_camera_set_camera_working_mode_rsp
  0x02/0x12 ( 18)  req=uav_camera_set_camera_photo_size_req  rsp=uav_camera_set_camera_photo_size_rsp
  0x02/0x14 ( 20)  req=uav_camera_set_camera_photo_quality_req  rsp=uav_camera_set_camera_photo_quality_rsp
  0x02/0x16 ( 22)  req=uav_camera_set_camera_photo_storage_format_req  rsp=uav_camera_set_camera_photo_storage_format_rsp
  0x02/0x18 ( 24)  req=uav_camera_set_video_format_req  rsp=uav_camera_set_video_format_rsp
  0x02/0x1A ( 26)  req=uav_camera_set_camera_video_quality_req  rsp=uav_camera_set_camera_video_quality_rsp
  0x02/0x1C ( 28)  req=uav_camera_set_camera_video_storage_format_req  rsp=uav_camera_set_camera_video_storage_format_rsp
  0x02/0x1E ( 30)  req=uav_camera_set_camera_exposure_mode_req  rsp=uav_camera_set_camera_exposure_mode_rsp
  0x02/0x20 ( 32)  req=uav_camera_set_camera_scene_mode_req  rsp=uav_camera_set_camera_scene_mode_rsp
  0x02/0x21 ( 33)  req=uav_camera_get_camera_scene_mode_req  rsp=uav_camera_get_camera_scene_mode_rsp
  0x02/0x22 ( 34)  req=uav_camera_set_camera_metering_mode_req  rsp=uav_camera_set_camera_metering_mode_rsp
  0x02/0x24 ( 36)  req=uav_camera_set_camera_focus_mode_req  rsp=uav_camera_set_camera_focus_mode_rsp
  0x02/0x26 ( 38)  req=uav_camera_set_aperture_size_req  rsp=uav_camera_set_aperture_size_rsp
  0x02/0x28 ( 40)  req=uav_camera_set_camera_shutter_speed_req  rsp=uav_camera_set_camera_shutter_speed_rsp
  0x02/0x29 ( 41)  req=uav_camera_get_camera_shutter_speed_req  rsp=uav_camera_get_camera_shutter_speed_rsp
  0x02/0x2A ( 42)  req=uav_camera_set_camera_iso_para_req  rsp=uav_camera_set_camera_iso_para_rsp
  0x02/0x2B ( 43)  req=uav_camera_get_camera_iso_para_req  rsp=uav_camera_get_camera_iso_para_rsp
  0x02/0x2C ( 44)  req=uav_camera_set_camera_white_balance_req  rsp=uav_camera_set_camera_white_balance_rsp
  0x02/0x2E ( 46)  req=uav_camera_set_camera_exposure_compensation_req  rsp=uav_camera_set_camera_exposure_compensation_rsp
  0x02/0x30 ( 48)  req=uav_camera_set_focus_area_req  rsp=uav_camera_set_focus_area_rsp
  0x02/0x32 ( 50)  req=uav_camera_set_spot_focus_area_req  rsp=uav_camera_set_spot_focus_area_rsp
  0x02/0x33 ( 51)  req=uav_camera_get_spot_focus_area_req  rsp=uav_camera_get_spot_focus_area_rsp
  0x02/0x34 ( 52)  req=uav_camera_set_focus_zoom_para_req  rsp=uav_camera_set_focus_zoom_para_rsp
  0x02/0x38 ( 56)  req=uav_camera_set_sharpness_para_req  rsp=uav_camera_set_sharpness_para_rsp
  0x02/0x3A ( 58)  req=uav_camera_set_contrast_para_req  rsp=uav_camera_set_contrast_para_rsp
  0x02/0x3C ( 60)  req=uav_camera_set_saturation_para_req  rsp=uav_camera_set_saturation_para_rsp
  0x02/0x3E ( 62)  req=uav_camera_set_colortone_para_req  rsp=uav_camera_set_colortone_para_rsp
  0x02/0x42 ( 66)  req=uav_camera_set_digital_filter_req  rsp=uav_camera_set_digital_filter_rsp
  0x02/0x44 ( 68)  req=uav_camera_set_digital_denoising_req  rsp=uav_camera_set_digital_denoising_rsp
  0x02/0x46 ( 70)  req=uav_camera_set_anti_filcker_req  rsp=uav_camera_set_anti_filcker_rsp
  0x02/0x48 ( 72)  req=uav_camera_set_continue_para_req  rsp=uav_camera_set_continue_para_rsp
  0x02/0x4A ( 74)  req=uav_camera_set_timelapse_para_req  rsp=uav_camera_set_timelapse_para_rsp
  0x02/0x4B ( 75)  req=uav_camera_get_timelapse_para_req  rsp=uav_camera_get_timelapse_para_rsp
  0x02/0x4C ( 76)  req=uav_camera_set_video_out_para_req  rsp=uav_camera_set_video_out_para_rsp
  0x02/0x4D ( 77)  req=uav_camera_get_video_out_para_req  rsp=uav_camera_get_video_out_para_rsp
  0x02/0x54 ( 84)  req=uav_camera_set_date_para_req  rsp=uav_camera_set_date_para_rsp
  0x02/0x56 ( 86)  req=uav_camera_set_language_para_req  rsp=uav_camera_set_language_para_rsp
  0x02/0x57 ( 87)  req=uav_camera_get_language_para_req  rsp=uav_camera_get_language_para_rsp
  0x02/0x58 ( 88)  req=uav_camera_set_gps_coordinate_req  rsp=uav_camera_set_gps_coordinate_rsp
  0x02/0x59 ( 89)  req=uav_camera_get_gps_coordinate_req  rsp=uav_camera_get_gps_coordinate_rsp
  0x02/0x5C ( 92)  req=uav_camera_set_file_index_mode_req  rsp=uav_camera_set_file_index_mode_rsp
  0x02/0x5E ( 94)  req=uav_camera_set_aeb_continues_req  rsp=uav_camera_set_aeb_continues_rsp
  0x02/0x5F ( 95)  req=uav_camera_get_aeb_continues_req  rsp=uav_camera_get_aeb_continues_rsp
  0x02/0x60 ( 96)  req=uav_camera_set_histogram_push_enable_req  rsp=uav_camera_set_histogram_push_enable_rsp
  0x02/0x61 ( 97)  req=uav_camera_get_histogram_push_enable_req  rsp=uav_camera_get_histogram_push_enable_rsp
  0x02/0x62 ( 98)  req=uav_camera_set_video_caption_req  rsp=uav_camera_set_video_caption_rsp
  0x02/0x63 ( 99)  req=uav_camera_get_video_caption_req  rsp=uav_camera_get_video_caption_rsp
  0x02/0x66 (102)  req=uav_camera_set_ntspal_type_req  rsp=uav_camera_set_ntspal_type_rsp
  0x02/0x68 (104)  req=uav_camera_set_ae_lock_req  rsp=uav_camera_set_ae_lock_rsp
  0x02/0x69 (105)  req=uav_camera_get_ae_lock_req  rsp=uav_camera_get_ae_lock_rsp
  0x02/0x6A (106)  req=uav_camera_set_capture_type_req  rsp=uav_camera_set_capture_type_rsp
  0x02/0x6C (108)  req=uav_camera_set_recording_mode_req  rsp=uav_camera_set_recording_mode_rsp
  0x02/0x6E (110)  req=uav_camera_set_pano_mode_req  rsp=uav_camera_set_pano_mode_rsp
  0x02/0x6F (111)  req=uav_camera_get_pano_mode_req  rsp=uav_camera_get_pano_mode_rsp
  0x02/0x72 (114)  req=uav_camera_format_sdcard_req  rsp=uav_camera_format_sdcard_rsp
  0x02/0x77 (119)  req=uav_camera_save_camera_para_req  rsp=uav_camera_save_camera_para_rsp
  0x02/0x78 (120)  req=uav_camera_load_camera_para_req  rsp=uav_camera_load_camera_para_rsp
  0x02/0x79 (121)  req=uav_camera_delete_photo_req  rsp=uav_camera_delete_photo_rsp
  0x02/0x7A (122)  req=uav_camera_video_playback_control_req  rsp=uav_camera_video_playback_control_rsp
  0x02/0x7B (123)  req=uav_camera_single_playback_select_req  rsp=uav_camera_single_playback_select_rsp
  0x02/0x8E (142)  req=uav_camera_parameter_option_req  rsp=uav_camera_parameter_option_rsp
  0x02/0x8E (142)  req=uav_camera_parameter_option_rsp  rsp=
  0x02/0x8F (143)  req=uav_camera_push_settings_update_notify_rsp  rsp=uav_camera_settings_update_notify_push
  0x02/0x90 (144)  req=uav_camera_serial_number_req  rsp=uav_camera_serial_number_rsp
  0x02/0x92 (146)  req=uav_camera_get_video_recording_info_req  rsp=uav_camera_get_video_recording_info_rsp
  0x02/0x93 (147)  req=uav_camera_set_video_clip_info_req  rsp=uav_camera_set_video_clip_info_rsp
  0x02/0x95 (149)  req=uav_camera_set_focus_engine_value_req  rsp=uav_camera_set_focus_engine_value_rsp
  0x02/0x98 (152)  req=uav_camera_get_file_system_info_req  rsp=uav_camera_get_file_system_info_rsp
  0x02/0x9F (159)  req=uav_camera_set_audio_param_req  rsp=uav_camera_set_audio_param_rsp
  0x02/0xA0 (160)  req=uav_camera_get_audio_param_req  rsp=uav_camera_get_audio_param_rsp
  0x02/0xA2 (162)  req=uav_camera_set_lens_focal_distance_req  rsp=uav_camera_set_lens_focal_distance_rsp
  0x02/0xA3 (163)  req=uav_camera_set_calibration_control_req  rsp=uav_camera_set_calibration_control_rsp
  0x02/0xA8 (168)  req=uav_camera_set_ae_lock_type_req  rsp=uav_camera_set_ae_lock_type_rsp
  0x02/0xAB (171)  req=uav_camera_set_video_coding_standard_req  rsp=uav_camera_set_video_coding_standard_rsp
  0x02/0xAF (175)  req=uav_camera_set_pro_video_format_req  rsp=uav_camera_set_pro_video_format_rsp
  0x02/0xB0 (176)  req=uav_camera_get_pro_video_format_req  rsp=uav_camera_get_pro_video_format_rsp
  0x02/0xB3 (179)  req=uav_camera_get_app_request_i_frame_req  rsp=uav_camera_get_app_request_i_frame_rsp
  0x02/0xB5 (181)  req=uav_camera_get_sensor_id_req  rsp=uav_camera_get_sensor_id_rsp
  0x02/0xB6 (182)  req=uav_camera_set_front_led_auto_close_req  rsp=uav_camera_set_front_led_auto_close_rsp
  0x02/0xB8 (184)  req=uav_camera_set_control_zoom_req  rsp=uav_camera_set_control_zoom_rsp
  0x02/0xB9 (185)  req=uav_camera_set_image_orientation_req  rsp=uav_camera_set_image_orientation_rsp
  0x02/0xBB (187)  req=uav_camera_set_lock_gimbal_when_capture_req  rsp=uav_camera_set_lock_gimbal_when_capture_rsp
  0x02/0xBF (191)  req=uav_camera_set_file_tag_req  rsp=uav_camera_set_file_tag_rsp
  0x02/0xC4 (196)  req=uav_camera_set_tap_zoom_enable_req  rsp=uav_camera_set_tap_zoom_enable_rsp
  0x02/0xC5 (197)  req=uav_camera_get_tap_zoom_enable_req  rsp=uav_camera_get_tap_zoom_enable_rsp
  0x02/0xC6 (198)  req=uav_camera_set_tap_zoom_target_req  rsp=uav_camera_set_tap_zoom_target_rsp
  0x02/0xCE (206)  req=uav_camera_get_calibration_control_req  rsp=uav_camera_get_calibration_control_rsp
  0x02/0xD7 (215)  req=uav_camera_set_user_custom_data_req  rsp=uav_camera_set_user_custom_data_rsp
  0x02/0xD8 (216)  req=uav_camera_get_user_custom_data_req  rsp=uav_camera_get_user_custom_data_rsp
  0x02/0xDA (218)  req=uav_camera_storage_config_req  rsp=uav_camera_storage_config_rsp
  0x02/0xE1 (225)  req=uav_camera_set_set_mode_profile_req  rsp=uav_camera_set_set_mode_profile_rsp
  0x02/0xE5 (229)  req=uav_camera_set_watermark_req  rsp=uav_camera_set_watermark_rsp
  0x02/0xE7 (231)  req=uav_camera_set_original_photo_saved_configuration_req  rsp=uav_camera_set_original_photo_saved_configuration_rsp
  0x02/0xE8 (232)  req=uav_camera_get_original_photo_saved_configuration_req  rsp=uav_camera_get_original_photo_saved_configuration_rsp
  0x02/0xEB (235)  req=uav_camera_set_camera_status_subscribe_req  rsp=uav_camera_set_camera_status_subscribe_rsp
  0x02/0xFE (254)  req=uav_camera_set_set_baseband_req  rsp=uav_camera_set_set_baseband_rsp
  0x02/0xFF (255)  req=uav_camera_cam_expan_cmd  rsp=uav_camera_camera_expansion_cmd_rsp

===== CMD_SET 0x03 (3) [fc] =====
  0x03/0x2A ( 42)  req=uav_fc_blade_calibration_req  rsp=uav_fc_function_control_rsp
  0x03/0x2A ( 42)  req=uav_fc_function_control_req  rsp=uav_fc_function_control_rsp
  0x03/0x2F ( 47)  req=uav_fc_set_voltage_alert_req  rsp=uav_fc_set_voltage_alert_rsp
  0x03/0x2F ( 47)  req=uav_voltage_alert_parameter  rsp=uav_fc_set_voltage_alert_rsp
  0x03/0x30 ( 48)  req=uav_fc_get_voltage_alert_req  rsp=uav_fc_get_voltage_alert_rsp
  0x03/0x31 ( 49)  req=uav_fc_set_homepoint_req  rsp=uav_fc_set_homepoint_rsp
  0x03/0x33 ( 51)  req=uav_fc_set_aircraft_name_req  rsp=uav_fc_set_aircraft_name_rsp
  0x03/0x34 ( 52)  req=uav_fc_get_aircraft_name_req  rsp=uav_fc_get_aircraft_name_rsp
  0x03/0x39 ( 57)  req=uav_fc_switch_to_read_data_mode_req  rsp=uav_fc_switch_to_read_data_mode_rsp
  0x03/0x3B ( 59)  req=uav_fc_set_fail_safe_action_req  rsp=uav_fc_set_fail_safe_action_rsp
  0x03/0x3C ( 60)  req=uav_fc_get_fail_safe_action_req  rsp=uav_fc_get_fail_safe_action_rsp
  0x03/0x46 ( 70)  req=uav_fc_switch_gps_snr_push_req  rsp=uav_fc_switch_gps_snr_push_rsp
  0x03/0x52 ( 82)  req=uav_fc_confirm_electricity_gohome_req  rsp=uav_fc_confirm_electricity_gohome_rsp
  0x03/0x5B ( 91)  req=uav_fc_capability_set_subscribe_push  rsp=uav_fc_push_capability_set_subscribe_rsp
  0x03/0x5C ( 92)  req=uav_fc_capability_set_push_push  rsp=uav_fc_push_capability_set_push_rsp
  0x03/0x77 (119)  req=uav_fc_handle_eid_switch  rsp=uav_fc_eid_switch_status
  0x03/0x78 (120)  req=uav_fc_action_rid_set_and_delete_opid  rsp=uav_fc_action_rid_set_and_delete_opid_ack
  0x03/0x80 (128)  req=uav_fc_set_ground_station_on_off_req  rsp=uav_fc_set_ground_station_on_off_rsp
  0x03/0x8F (143)  req=uav_fc_recorder_rpc_rsp  rsp=uav_fc_recorder_rpc_req
  0x03/0x9C (156)  req=uav_fc_set_waypoint_auto_flight_speed_req  rsp=uav_fc_set_waypoint_auto_flight_speed_rsp
  0x03/0x9D (157)  req=uav_fc_get_waypoint_auto_flight_speed_req  rsp=uav_fc_get_waypoint_auto_flight_speed_rsp
  0x03/0xA0 (160)  req=uav_fc_agnss_pos_and_time_data_push  rsp=uav_fc_push_agnss_pos_and_time_data_rsp
  0x03/0xA2 (162)  req=uav_fc_agps_online_push_push  rsp=uav_fc_push_agps_online_push_rsp
  0x03/0xAF (175)  req=uav_fc_get_product_config_req  rsp=uav_fc_get_product_config_rsp
  0x03/0xB4 (180)  req=uav_fc_get_uav_uav_code_req  rsp=uav_fc_get_uav_uav_code_rsp
  0x03/0xB8 (184)  req=uav_fc_get_redundancy_system_req  rsp=uav_fc_get_redundancy_system_rsp
  0x03/0xBB (187)  req=uav_fc_get_nfzdb_upgrade_status_query_req  rsp=uav_fc_get_nfzdb_upgrade_status_query_rsp
  0x03/0xBC (188)  req=uav_fc_fmu_api_register_led_action_req  rsp=uav_fc_fmu_api_register_led_action_rsp
  0x03/0xBC (188)  req=uav_fc_get_nfzdb_upgrade_result_query_req  rsp=uav_fc_get_nfzdb_upgrade_result_query_rsp
  0x03/0xBD (189)  req=uav_fc_fmu_api_logout_led_action_req  rsp=uav_fc_fmu_api_logout_led_action_rsp
  0x03/0xBD (189)  req=uav_fc_nfz_upgrade_exit_req  rsp=uav_fc_nfz_upgrade_exit_rsp
  0x03/0xBE (190)  req=uav_fc_fmu_api_set_led_action_req  rsp=uav_fc_fmu_api_set_led_action_rsp
  0x03/0xD7 (215)  req=uav_fc_recorder_rpc_rsp  rsp=uav_fc_recorder_rpc_req
