# CMD_SET 0x02 (CAMERA) only; IDs below are not CmdIdCommon media commands.
0xaf uav_camera_set_pro_video_format_req                     uav_camera_set_pro_video_format_rsp
0xb0 uav_camera_get_pro_video_format_req                     uav_camera_get_pro_video_format_rsp
0xb3 uav_camera_get_app_request_i_frame_req                  uav_camera_get_app_request_i_frame_rsp
0xb5 uav_camera_get_sensor_id_req                            uav_camera_get_sensor_id_rsp
0xb6 uav_camera_set_front_led_auto_close_req                 uav_camera_set_front_led_auto_close_rsp
0xb8 uav_camera_set_control_zoom_req                         uav_camera_set_control_zoom_rsp
0xb9 uav_camera_set_image_orientation_req                    uav_camera_set_image_orientation_rsp
0xbb uav_camera_set_lock_gimbal_when_capture_req             uav_camera_set_lock_gimbal_when_capture_rsp
0xbf uav_camera_set_file_tag_req                             uav_camera_set_file_tag_rsp
0xc4 uav_camera_set_tap_zoom_enable_req                      uav_camera_set_tap_zoom_enable_rsp
0xc5 uav_camera_get_tap_zoom_enable_req                      uav_camera_get_tap_zoom_enable_rsp
0xc6 uav_camera_set_tap_zoom_target_req                      uav_camera_set_tap_zoom_target_rsp
0xce uav_camera_get_calibration_control_req                  uav_camera_get_calibration_control_rsp
0xd7 uav_camera_set_user_custom_data_req                     uav_camera_set_user_custom_data_rsp
0xd8 uav_camera_get_user_custom_data_req                     uav_camera_get_user_custom_data_rsp
0xda uav_camera_storage_config_req                           uav_camera_storage_config_rsp
0xe1 uav_camera_set_set_mode_profile_req                     uav_camera_set_set_mode_profile_rsp
0xe5 uav_camera_set_watermark_req                            uav_camera_set_watermark_rsp
0xe7 uav_camera_set_original_photo_saved_configuration_req   uav_camera_set_original_photo_saved_configuration_rsp
0xe8 uav_camera_get_original_photo_saved_configuration_req   uav_camera_get_original_photo_saved_configuration_rsp
0xeb uav_camera_set_camera_status_subscribe_req              uav_camera_set_camera_status_subscribe_rsp
0xfe uav_camera_set_set_baseband_req                         uav_camera_set_set_baseband_rsp
0xff uav_camera_cam_expan_cmd                                uav_camera_camera_expansion_cmd_rsp
